id,name,url,logo_url
jackhenry:alpinebank,Alpine Bank,,
jackhenry:bibank,Bank Independent,,
bankofamerica,Bank of America,,
jackhenry:busey,Busey Bank,,
jackhenry:capecodfive,Cape Cod 5,,
capitalone,Capital One,,
chase,Chase,,
citi,Citibank,,
jackhenry:deereemployeescu,Deere Employees Credit Union,,
jackhenry:dcecu,Dow Credit Union,,
fidelity,Fidelity Investments,,
jackhenry:bankeasy,First Bank & Trust- BANKeasy,,
jackhenry:firstbank,FirstBank,,
jackhenry:fivestarcu,Five Star CU,,
jackhenry:freedomfirst,Freedom First Credit Union,,
jackhenry:hpbgo,High Plains Bank,,
jackhenry:rivervalleybank,IncredibleBank,,
jackhenry:oakstar,Oakstar,,
pnc,PNC Bank,,
jackhenry:simmons,Simmons,,
td,TD Bank,,
jackhenry:thinkbank,Think Bank,,
transamerica,Transamerica,,
jackhenry:trustonefinancial,TruStone Financial,,
usbank,U.S. Bank,,
jackhenry:utahfirst,Utah First,,
wellsfargo,Wells Fargo,,
