name,akoya,sophtron,comment
Alpine Bank,jackhenry:alpinebank,a76aa89b-4316-4c77-a65d-2c68dd28049e,Alpine Banks of Colorado
Bank Independent,jackhenry:bibank,b90f7c22-36a9-4d13-a0c7-1679d285fca0,
Bank of America,bankofamerica,3e9fbc88-be07-4478-9a4c-9d3061d5d6d4,
Busey Bank,jackhenry:busey,fbf543ef-68fe-479e-9115-de0b3717973d,
Cape Cod 5,jackhenry:capecodfive,8358ec96-f0bb-483f-8e3e-888d8db10fd3,
Capital One,capitalone,0d8a29dd-4c28-4364-a493-b508f0a84758,
Chase,chase,1bba2110-2d22-4988-93d7-c03d0bb02f32,
Citibank,citi,4b2eca34-a729-438f-844c-ba8ce51047f9,
Deere Employees Credit Union,jackhenry:deereemployeescu,84b7a682-8ef9-4c40-8c50-c97768b4256b,
Dow Credit Union,jackhenry:dcecu,fd8008b0-1731-4d6c-9c2d-f00538239e34,
Fidelity Investments,fidelity,bb977a24-db97-4dfa-98f8-398cf8ba44b8,
First Bank & Trust- BANKeasy,jackhenry:bankeasy,0ce705d9-9dcd-4578-8107-2f5af14f546e,
FirstBank,jackhenry:firstbank,a66f3ef6-1c19-4064-8aa8-6969f93439b7,
Five Star CU,jackhenry:fivestarcu,7bef596e-c934-43ad-bfd1-739c563aabee,
Freedom First Credit Union,jackhenry:freedomfirst,93397f7c-9d6f-4bad-9140-e3b498da647f,
High Plains Bank,jackhenry:hpbgo,308a9c55-9135-4a79-bfd0-95c103874dc2,High Plains Bank (CO)
IncredibleBank,jackhenry:rivervalleybank,31e2683d-fe8b-46c3-8e38-89c48c89312f,
Oakstar,jackhenry:oakstar,6ff01b59-7a3d-4c33-ae5b-76fbe5f7c8b7,
PNC Bank,pnc,13793b9f-2ebf-4f31-815e-7dfe38e906c4,
Simmons,jackhenry:simmons,447b4831-fcc9-4f72-aacc-b00af0c06d5a,Simmons Bank
TD Bank,td,b8cb06e4-4f42-42b7-ba5a-623a5d1afe0f,TD Bank (US)
Think Bank,jackhenry:thinkbank,6796091b-2bb5-4340-aba7-dc6f049b235a,Think Mutual Bank
Transamerica,transamerica,30898c00-ef07-471e-a42a-803a94d1e6f2,
TruStone Financial,jackhenry:trustonefinancial,f4b7f6cc-d803-44c4-9a7f-e7f83ebf4386,
U.S. Bank,usbank,9aee59a1-59c9-4e5e-88f6-a00aa19f1612,
Utah First,jackhenry:utahfirst,22e8f319-a277-46ad-8c22-2ec06597d4b1,
Wells Fargo,wellsfargo,e3d4c866-1c48-44c3-9cc5-5e9c7db43ef0,
